id;nazwa_wojewodztwa;kod_rynku;kod_branzy;liczba_pracownikow;zrodlo_rejestr;data_rejestracji;data_ostatnie_zamowienie;obecnosc_w_internecie;target_wartosc_sprzedazy
3235;zachodniopomorskie;KSW;10001;2-5 osób;CEIDG;01.01.1992;02.10.2020;ma stronê www;25871
3237;zachodniopomorskie;KSW;10001;2-5 osób;CEIDG;01.01.1970;18.06.2019;ma stronê www;1680
3255;zachodniopomorskie;KSW;5;2-5 osób;CEIDG;25.01.1996;24.01.2018;ma stronê www;1300
3256;zachodniopomorskie;KSW;5;2-5 osób;CEIDG;05.09.1994;24.06.2020;ma stronê www;550
3257;zachodniopomorskie;KSW;5;2-5 osób;CEIDG;30.12.1997;19.06.2020;ma stronê www;2700
3258;zachodniopomorskie;KSW;98;101-250 osób;KRS;14.03.1990;01.09.2020;ma stronê www;3900
3259;zachodniopomorskie;KSW;5;6-10 osób;CEIDG;24.06.1992;17.07.2019;ma stronê www;1500
3272;zachodniopomorskie;KSW;1574;11-20 osób;KRS;01.01.1991;01.10.2020;ma stronê www;2580
3282;zachodniopomorskie;KSW;437;;CEIDG;30.08.1999;03.03.2020;ma stronê www;1500
3287;zachodniopomorskie;KSW;5;2-5 osób;CEIDG;20.12.1990;06.07.2020;ma stronê www;7728
3297;ma³opolskie;TRW;10001;6-10 osób;CEIDG;01.12.1998;10.08.2020;ma stronê www;1344
3301;wielkopolskie;LSW;848;21-50 osób;KRS;01.12.1995;29.08.2019;ma stronê www;2500
3303;wielkopolskie;LSW;10001;101-250 osób;KRS;01.01.2000;13.11.2019;ma stronê www;3355
3306;wielkopolskie;LSW;848;101-250 osób;KRS;14.09.2004;04.08.2020;ma stronê www;2110
3310;wielkopolskie;LSW;1171;6-10 osób;CEIDG;01.12.1991;26.02.2018;nie ma strony www;250
3321;pomorskie;GDW;437;6-10 osób;CEIDG;01.03.1996;07.05.2018;ma stronê www;500
3337;mazowieckie;PLW;848;21-50 osób;CEIDG;01.12.1982;07.08.2020;ma stronê www;600
3342;mazowieckie;RDW;5;1 osoba;CEIDG;16.11.2004;03.07.2019;nie ma strony www;650
3361;wielkopolskie;POW;755;2-5 osób;CEIDG;15.07.1997;18.12.2019;ma stronê www;18120
3363;wielkopolskie;POW;907;6-10 osób;CEIDG;25.02.2003;16.06.2020;ma stronê www;700
3370;opolskie;OPW;755;6-10 osób;CEIDG;01.12.1990;13.05.2020;ma stronê www;500
3371;opolskie;OPW;98;6-10 osób;CEIDG;01.12.1995;16.07.2020;ma stronê www;3751
3372;ma³opolskie;KRW;5;11-20 osób;KRS;01.12.1996;16.12.2019;ma stronê www;1300
3376;ma³opolskie;KRW;10001;2-5 osób;CEIDG;29.09.2018;10.09.2020;ma stronê www;7112
3382;ma³opolskie;KRW;1574;21-50 osób;CEIDG;01.08.1990;12.01.2018;ma stronê www;850
3385;ma³opolskie;KRW;755;6-10 osób;CEIDG;04.09.1992;20.02.2020;ma stronê www;1700
3387;ma³opolskie;KRW;755;11-20 osób;KRS;17.04.2003;04.02.2020;ma stronê www;1320
3388;ma³opolskie;KRW;98;6-10 osób;KRS;01.01.1990;01.02.2018;ma stronê www;696
3416;ma³opolskie;KRW;848;51-100 osób;KRS;16.05.1995;18.05.2020;ma stronê www;11184
3425;lubuskie;ZGW;968;1 osoba;CEIDG;01.12.1995;01.04.2020;nie ma strony www;550
3431;ma³opolskie;KRW;526;2-5 osób;CEIDG;01.12.1992;14.10.2020;e-commerce;800
3437;ma³opolskie;KRW;10001;21-50 osób;CEIDG;01.08.1994;08.08.2018;ma stronê www;500
3443;ma³opolskie;KRW;755;2-5 osób;CEIDG;03.10.2001;24.05.2019;ma stronê www;3960
3449;ma³opolskie;KRW;907;6-10 osób;CEIDG;01.12.1994;06.10.2020;ma stronê www;500
3460;ma³opolskie;KRW;10001;2-5 osób;CEIDG;02.01.1992;22.11.2018;ma stronê www;1200
3466;ma³opolskie;KRW;526;2-5 osób;CEIDG;01.12.1998;17.03.2020;ma stronê www;2781
3483;ma³opolskie;KRW;411;2-5 osób;CEIDG;01.03.1994;15.10.2019;nie ma strony www;501
3496;ma³opolskie;KRW;1433;1 osoba;CEIDG;01.12.1995;30.11.2018;ma stronê www;550
3500;ma³opolskie;KRW;1574;2-5 osób;CEIDG;15.02.1995;24.06.2020;ma stronê www;6508
3503;ma³opolskie;KRW;848;101-250 osób;KRS;01.12.1992;21.08.2020;ma stronê www;650
3513;ma³opolskie;KRW;1171;2-5 osób;CEIDG;17.04.2003;07.11.2019;ma stronê www;760
3522;ma³opolskie;KRW;907;2-5 osób;CEIDG;01.09.1993;05.11.2019;ma stronê www;400
3523;ma³opolskie;KRW;1386;powy¿ej 250 osób;KRS;01.11.1991;14.11.2019;ma stronê www;5500
3524;ma³opolskie;KRW;1574;6-10 osób;CEIDG;19.02.2001;18.09.2019;ma stronê www;600
3525;ma³opolskie;KRW;848;2-5 osób;CEIDG;15.09.1993;13.08.2020;ma stronê www;16390
3529;ma³opolskie;KRW;848;2-5 osób;CEIDG;01.12.1994;10.08.2020;ma stronê www;670
3573;ma³opolskie;KRW;1574;2-5 osób;CEIDG;01.12.1995;12.10.2020;nie ma strony www;550
3584;ma³opolskie;KRW;907;2-5 osób;CEIDG;29.11.1994;16.01.2020;ma stronê www;4320
3585;ma³opolskie;KRW;5;6-10 osób;CEIDG;01.01.1994;17.07.2018;ma stronê www;740
3597;ma³opolskie;KRW;848;6-10 osób;KRS;01.01.2001;07.01.2020;ma stronê www;840
7214;³ódzkie;SRW;1171;1 osoba;CEIDG;20.01.2005;21.10.2019;ma stronê www;560
7217;³ódzkie;SRW;5;1 osoba;CEIDG;01.12.1979;21.07.2020;nie ma strony www;600
7226;³ódzkie;SRW;1433;6-10 osób;CEIDG;01.01.1996;29.07.2020;ma stronê www;1400
7227;pomorskie;GDW;522;2-5 osób;CEIDG;01.12.1993;05.03.2020;ma stronê www;1500
7228;pomorskie;GDW;437;101-250 osób;KRS;01.01.1989;29.04.2020;ma stronê www;600
7238;mazowieckie;PLW;437;1 osoba;CEIDG;05.04.1995;09.07.2019;nie ma strony www;300
7241;œl¹skie;DGW;907;;CEIDG;01.03.1992;05.11.2019;ma stronê www;5720
7248;pomorskie;GDW;10001;101-250 osób;KRS;01.01.1998;14.10.2020;ma stronê www;21600
7253;œwiêtokrzyskie;KIW;907;2-5 osób;CEIDG;01.12.1992;03.09.2018;ma stronê www;450
7256;œwiêtokrzyskie;KIW;98;2-5 osób;CEIDG;01.12.1997;10.08.2020;ma stronê www;990
7257;œwiêtokrzyskie;KIW;437;11-20 osób;CEIDG;09.07.1991;09.01.2020;ma stronê www;8618
